path,bytes,sha256,source_url,r2_key
publications/G1Adequacy_of_land.CV.pdf,635933,b3fdcda040c04db432fbbc10e2118d440c254ff751968a4dccf4619b81a23ce4,https://masongaffney.org/publications/G1Adequacy_of_land.CV.pdf,gaffney/publications/G1Adequacy_of_land.CV.pdf
publications/G20-NatlTaxAssnDiscussantonEnergyTaxes.CV.pdf,283504,f6a1ebff7771c6b5213f91841f52b624b14eb14b62e1da691a79e114a6bd2335,https://masongaffney.org/publications/G20-NatlTaxAssnDiscussantonEnergyTaxes.CV.pdf,gaffney/publications/G20-NatlTaxAssnDiscussantonEnergyTaxes.CV.pdf
publications/G2009-Hidden_Taxable_Capacity_of_Land_2009.pdf,6812697,20eabf4f5dd425eedc800e8f79f4c3f029af93bf1c112ff41cda4a268da7dff4,https://masongaffney.org/publications/G2009-Hidden_Taxable_Capacity_of_Land_2009.pdf,gaffney/publications/G2009-Hidden_Taxable_Capacity_of_Land_2009.pdf
publications/G21-PartialityofIndexingCapitalGains.CV.pdf,56951,08bce953e9e63f599b819eeecd3f54e6b57a27590954dd0d1353c109e0a131ef,https://masongaffney.org/publications/G21-PartialityofIndexingCapitalGains.CV.pdf,gaffney/publications/G21-PartialityofIndexingCapitalGains.CV.pdf
publications/G28-AnAlternativeReform.CV.pdf,405107,deb96334b2521ebe5e85372b6f74b982667975e6bec89a85dd83f3d2245d5ac2,https://masongaffney.org/publications/G28-AnAlternativeReform.CV.pdf,gaffney/publications/G28-AnAlternativeReform.CV.pdf
publications/G29-TaxableCapacityofLand.pdf,88214,1c09913ce26f42f0163e56017cffd0e764ac67ad749c49463edadc73a4165724,https://masongaffney.org/publications/G29-TaxableCapacityofLand.pdf,gaffney/publications/G29-TaxableCapacityofLand.pdf
publications/G2QCoordinating_Tax_Incentives.CV.pdf,989979,74c5cfa29cdc7e0e7f2fa01e09a27479a494d019014795391fd27a2985f2eafb,https://masongaffney.org/publications/G2QCoordinating_Tax_Incentives.CV.pdf,gaffney/publications/G2QCoordinating_Tax_Incentives.CV.pdf
publications/G2QTestimony_before_Sen_Douglas.CV.pdf,193616,235121a5fc9fdfb4edef5478601396c62615dec2f4e9e5f76a2824666a935eb1,https://masongaffney.org/publications/G2QTestimony_before_Sen_Douglas.CV.pdf,gaffney/publications/G2QTestimony_before_Sen_Douglas.CV.pdf
publications/G34QEquity_Premises_and_Case_for_Socializing_Rent.CV.pdf,75089,a9ada630501a5064d53c7e6343fe5c75ed55588ec38f0ec26aedef2eca3ef123,https://masongaffney.org/publications/G34QEquity_Premises_and_Case_for_Socializing_Rent.CV.pdf,gaffney/publications/G34QEquity_Premises_and_Case_for_Socializing_Rent.CV.pdf
publications/G39LandGains.CV.pdf,287013,c20fc5af1df2cf68830dce3c3ee327af82e89f7d3ae635fb2e8023c4c8fe9f20,https://masongaffney.org/publications/G39LandGains.CV.pdf,gaffney/publications/G39LandGains.CV.pdf
publications/G4-AgendaforStrengtheningthePropertyTax1.CV.pdf,242133,70597d867c6e74fd9a201b5c1459e1f71c79c5404e490c2b33ef2b51ea74b943,https://masongaffney.org/publications/G4-AgendaforStrengtheningthePropertyTax1.CV.pdf,gaffney/publications/G4-AgendaforStrengtheningthePropertyTax1.CV.pdf
